date,open,high,low,close,volume
2015-09-11,238.57,240.94,237.5,240.0,13805.17684680998
2015-09-12,239.92,240.0,233.02,234.79,17449.11859951003
2015-09-13,234.79,236.09,228.0,229.66,19655.120439970106
2015-09-14,229.66,232.92,223.99,229.71,16674.85661508005
2015-09-15,229.84,231.21,226.5,230.03,17298.612168060157
2015-09-16,229.99,230.5,223.0,228.34,18169.462290840096
2015-09-17,228.34,235.0,227.0,232.17,14645.736294440021
2015-09-18,232.2,234.4,230.83,233.12,19458.904945910068
2015-09-19,233.24,233.76,229.89,230.0,11230.757924420095
2015-09-20,230.0,231.7,229.0,230.16,13401.144952830016
2015-09-21,230.1,230.15,225.0,226.15,14081.307101619945
2015-09-22,226.15,231.96,223.12,230.42,19332.879616880087
2015-09-23,230.08,231.5,228.0,229.42,13586.08736521999
2015-09-24,229.42,235.52,228.89,233.86,24202.736357680125
2015-09-25,233.88,237.25,232.56,235.22,22555.44540032
2015-09-26,235.14,235.67,233.0,233.81,15109.424108529998
2015-09-27,233.81,234.61,231.16,232.41,17506.449409390025
2015-09-28,232.4,239.68,231.69,239.14,17566.826435279985
2015-09-29,239.14,240.56,235.09,236.94,19877.454879419984
2015-09-30,236.78,238.27,234.67,236.2,20934.846493530014
2015-10-01,235.87,239.44,235.01,237.15,20341.00819203001
2015-10-02,238.0,239.06,235.0,237.77,16908.034672800033
2015-10-03,237.77,239.86,236.3,238.95,17825.61763796001
2015-10-04,239.06,239.98,237.62,238.6,15015.066718920021
2015-10-05,238.6,240.85,236.1,240.84,20316.503649120044
2015-10-06,240.85,248.19,239.52,246.57,26684.247525510084
2015-10-07,246.79,247.65,242.3,243.2,23768.19691197998
2015-10-08,243.47,244.76,242.06,242.9,13983.752056530046
2015-10-09,243.29,244.95,242.16,244.48,14099.915538390036
2015-10-10,244.49,246.43,243.0,245.71,17313.142353410043
2015-10-11,245.71,248.5,244.53,248.05,19140.35541080003
2015-10-12,248.05,248.47,245.01,245.81,10671.703764090069
2015-10-13,245.81,250.89,242.82,249.73,25901.60284773
2015-10-14,249.97,255.93,248.06,252.47,26942.87099629983
2015-10-15,252.47,256.5,250.3,254.49,22037.628010490098
2015-10-16,254.49,267.0,253.69,263.09,34816.741093809826
2015-10-17,263.09,273.0,260.8,270.07,25328.14897725983
2015-10-18,270.04,271.17,260.0,261.05,10003.126671890044
2015-10-19,260.99,266.01,259.82,263.66,16704.69881339002
2015-10-20,264.28,272.95,262.67,270.64,28967.441252689674
2015-10-21,270.3,272.69,264.0,267.89,20396.778013060208
2015-10-22,267.9,280.04,267.39,275.21,30166.42544251983
2015-10-23,275.21,280.19,273.46,278.6,21572.26847047037
2015-10-24,278.6,284.0,278.22,282.84,20586.33501752034
2015-10-25,283.03,296.0,282.2,283.96,30003.58655651009
2015-10-26,283.96,286.99,279.25,286.9,21266.47299543002
2015-10-27,286.9,300.0,286.15,295.54,34002.148651809825
